time,rate,error
-90.0,0.0,0.0
-89.99000000953674,0.0,0.0
-89.98000001907349,0.0,0.0
-89.97000002861023,0.0,0.0
-89.95999997854233,0.0,0.0
-89.94999998807907,0.0,0.0
-89.93999999761581,0.0,0.0
-89.93000000715256,0.0,0.0
-89.9200000166893,0.0,0.0
-89.91000002622604,0.0,0.0
-89.89999997615814,0.0,0.0
-89.88999998569489,0.0,0.0
-89.87999999523163,0.0,0.0
-89.87000000476837,0.0,0.0
-89.86000001430511,0.0,0.0
-89.85000002384186,0.0,0.0
-89.83999997377396,0.0,0.0
-89.8299999833107,0.0,0.0
-89.81999999284744,0.0,0.0
-89.81000000238419,0.0,0.0
-89.80000001192093,0.0,0.0
-89.79000002145767,0.0,0.0
-89.77999997138977,0.0,0.0
-89.76999998092651,0.0,0.0
-89.75999999046326,0.0,0.0
-89.75,0.0,0.0
-89.74000000953674,0.0,0.0
-89.73000001907349,0.0,0.0
-89.72000002861023,0.0,0.0
-89.70999997854233,0.0,0.0
-89.69999998807907,0.0,0.0
-89.68999999761581,0.0,0.0
-89.68000000715256,0.0,0.0
-89.6700000166893,0.0,0.0
-89.66000002622604,0.0,0.0
-89.64999997615814,0.0,0.0
-89.63999998569489,0.0,0.0
-89.62999999523163,0.0,0.0
-89.62000000476837,0.0,0.0
-89.61000001430511,0.0,0.0
-89.60000002384186,0.0,0.0
-89.58999997377396,0.0,0.0
-89.5799999833107,0.0,0.0
-89.56999999284744,0.0,0.0
-89.56000000238419,0.0,0.0
-89.55000001192093,0.0,0.0
-89.54000002145767,0.0,0.0
-89.52999997138977,0.0,0.0
-89.51999998092651,0.0,0.0
-89.50999999046326,0.0,0.0
-89.5,0.0,0.0
-89.49000000953674,0.0,0.0
-89.48000001907349,0.0,0.0
-89.47000002861023,0.0,0.0
-89.45999997854233,0.0,0.0
-89.44999998807907,0.0,0.0
-89.43999999761581,0.0,0.0
-89.43000000715256,0.0,0.0
-89.4200000166893,0.0,0.0
-89.41000002622604,0.0,0.0
-89.39999997615814,0.0,0.0
-89.38999998569489,0.0,0.0
-89.37999999523163,0.0,0.0
-89.37000000476837,0.0,0.0
-89.36000001430511,0.0,0.0
-89.35000002384186,0.0,0.0
-89.33999997377396,0.0,0.0
-89.3299999833107,0.0,0.0
-89.31999999284744,0.0,0.0
-89.31000000238419,0.0,0.0
-89.30000001192093,0.0,0.0
-89.29000002145767,0.0,0.0
-89.27999997138977,0.0,0.0
-89.26999998092651,0.0,0.0
-89.25999999046326,0.0,0.0
-89.25,0.0,0.0
-89.24000000953674,0.0,0.0
-89.23000001907349,0.0,0.0
-89.22000002861023,0.0,0.0
-89.20999997854233,0.0,0.0
-89.19999998807907,0.0,0.0
-89.18999999761581,0.0,0.0
-89.18000000715256,0.0,0.0
-89.1700000166893,0.0,0.0
-89.16000002622604,0.0,0.0
-89.14999997615814,0.0,0.0
-89.13999998569489,0.0,0.0
-89.12999999523163,0.0,0.0
-89.12000000476837,0.0,0.0
-89.11000001430511,0.0,0.0
-89.10000002384186,0.0,0.0
